zh_ref,ru_ref,google_trans,NLBB_trans,GPT_translate
张汉晖大使就习近平主席访俄成果及中俄合作等接受《消息报》书面专访,Письменное интервью Посла КНР в РФ Чжан Ханьхуэя российскому газете “Известия”,"Посол Чжан Ханьхуэй принял письменное интервью ""Известиям"" по итогам визита председателя Си Цзиньпина в Россию и китайско-российского сотрудничества.","Посол Чжан Ханьхуэй дал письменное интервью газете ""Izvestia"", в котором рассказал о результатах визита председателя КНР Си Цзиньпина в Россию, а также о сотрудничестве между Китаем и Россией.",Посол Чжан Ханьчул получил письменное интервью о визите президента Си в Россию и российско-китайском сотрудничестве.
2023-04-07 21:14,2023-04-07 22:25,2023-04-07 21:14,2023-04-07 21:14,2023-04-07 21:14
一、中国国家主席习近平对俄罗斯进行国事访问，取得丰硕成果。此访期间，双方签署14份文件。在中方看来，这是否是此访最重要成果？,"1. Визит председателя КНР Си Цзиньпина в Россию получился очень обстоятельным и масштабным, о чем говорит уже само число подписанных по итогам встреч документов – сразу 14. И все же что, с точки зрения китайской стороны, можно назвать самым важным успехом нынешнего визита?","1. Председатель КНР Си Цзиньпин совершил государственный визит в Россию и добился плодотворных результатов. В ходе визита стороны подписали 14 документов. С точки зрения Китая, является ли это самым важным результатом этого визита?","Президент КНР Си Цзиньпин совершил государственный визит в Россию, который принес значительные результаты. В ходе этого визита были подписаны 14 документов. С точки зрения китайской стороны, являются ли эти документы самым важным достижением визита?","1. Президент Китая Си Цзиньпин совершил плодотворный государственный визит в Россию. В ходе визита стороны подписали 14 документов. С точки зрения Китая, является ли это самым важным результатом этого визита?"
2023年3月20日至22日，国家主席习近平应俄罗斯总统普京邀请，对俄罗斯进行国事访问。2013年，习近平主席就任中国国家主席后首次出访就来到莫斯科。时隔10年，习近平主席再次将俄罗斯作为新任期出访首站，充分体现了新时代中俄关系的高水平和特殊性，对中俄关系发展具有里程碑意义。,"С 20 по 22 марта 2023 г. председатель КНР Си Цзиньпин по приглашению президента России В.В. Путина совершил государственный визит в Россию. В 2013 г., когда Си Цзиньпин вступил в должность председателя КНР, свой первый визит он нанёс именно в Россию. Спустя десять лет первый визит после переизбрания на этот пост председатель Си Цзиньпин вновь совершил в Россию, что в полной мере отразило высокий уровень и особый характер китайско-российских отношений. Этот визит по праву считается очередной вехой в развитии китайско-российских отнощений.","С 20 по 22 марта 2023 года Председатель Си Цзиньпин совершил государственный визит в Россию по приглашению Президента России Владимира Путина. В 2013 году председатель Си Цзиньпин приехал в Москву со своим первым зарубежным визитом после вступления в должность президента Китая. Спустя 10 лет председатель Си Цзиньпин вновь сделал Россию первой остановкой своего нового срока полномочий, что в полной мере отражает высокий уровень и своеобразие китайско-российских отношений в новую эпоху и имеет знаковое значение для развития китайско-российских отношений.","С 20 по 22 марта 2023 года председатель КНР Си Цзиньпин, по приглашению президента России Владимира Путина, совершил государственный визит в Россию. В 2013 году, после того как Си Цзиньпин вступил в должность председателя КНР, Москва стала первой страной, которую он посетил с официальным визитом. Спустя 10 лет, Си Цзиньпин вновь выбрал Россию в качестве первой страны для визита в начале своего нового срока, что полностью отражает высокий уровень и особую значимость российско-китайских отношений в новую эпоху и имеет историческое значение для развития этих отношений.","С 20 по 22 марта 2023 года президент Си Цзиньпин совершил государственный визит в Россию по приглашению президента России Путина. В 2013 году президент Си впервые посетил Москву с момента вступления на пост президента Китая. За 10 лет президент Си вновь сделал Россию первым пунктом назначения своего нового срока полномочий, в полной мере отражая высокий уровень и специфику российско-китайских отношений в новую эпоху, что является вехой в развитии российско-китайских отношений."
习近平主席此访的重要目的之一，就是同普京总统擎画中俄关系蓝图。访问期间，习主席同普京总统进行了长时间真挚友好、富有成果的会谈和交流，会见俄罗斯联邦总理米舒斯京。两国元首共同签署《中俄关于深化新时代全面战略协作伙伴关系的联合声明》和《2030年前中俄经济合作重点方向发展规划的联合声明》，对下阶段两国关系发展和各领域合作作出规划和部署，双方还签署了农业、林业、基础科学、市场监管、媒体等领域多项双边合作文件。双方重申在涉及彼此核心利益问题上继续相互支持，共同抵御外部势力干涉内政图谋。可以说，两国元首为中俄新时代全面战略协作伙伴关系提供了战略引领和有力政治保障。,"Одной из важных целей данного визита председателя Си Цзиньпина являлось создание плана для китайско-российских отношений. Во время визита председатель Си и президент Путин вели длительные, искренние и дружественные, принёсшие богатые результаты переговоры и обмены, председатель Си также встретился с председателем правительства РФ М. Мишустиным. Главы двух государств совместно подписали «Совместное заявление Российской Федерации и Китайской Народной Республики об углублении отношений всеобъемлющего партнерства и стратегического взаимодействия, вступающих в новую эпоху» и «Совместное заявление Президента Российской Федерации и Председателя Китайской Народной Республики о плане развития ключевых направлений российско-китайского экономического сотрудничества до 2030 года», осуществив планирование для развития двусторонних отношений на следующем этапе и сотрудничества во всех областях. Стороны также подписали многочисленные документы по двустороннему сотрудничеству в таких сферах, как сельское и лесное хозяйство, фундаментальные науки, рыночное регулирование и СМИ. Стороны подтвердили намерение продолжать взаимную поддержку в вопросах, затрагивающих обоюдные коренные интересы, совместно бороться с вмешательством внешних сил во внутренние дела. Можно сказать, что главы двух государств представили стратегическое руководство и мощные политические гарантии для отношений всеобъемлющего партнерства и стратегического взаимодействия в новую эпоху.","Одной из важных целей визита председателя Си Цзиньпина является выработка проекта китайско-российских отношений с президентом Путиным. В ходе визита председатель Си Цзиньпин провел долгосрочные, искренние, дружеские и плодотворные переговоры и обмены мнениями с президентом Путиным, а также встретился с премьер-министром Российской Федерации Мишустиным. Главы двух государств совместно подписали «Совместное заявление Китая и России об углублении всеобъемлющего стратегического партнерства и координации в новую эпоху» и «Совместное заявление о плане развития ключевых направлений китайско-российского экономического сотрудничества до 2030 года», определив планы и договоренности по развитию двусторонних отношений и сотрудничества в различных областях на следующем этапе. Обе стороны также подписали ряд документов о двустороннем сотрудничестве в области сельского хозяйства, лесного хозяйства, фундаментальной науки, надзора за рынком, средств массовой информации и других областях. Обе стороны подтвердили, что будут продолжать поддерживать друг друга по вопросам, затрагивающим основные интересы друг друга, и совместно противостоять попыткам внешних сил вмешаться во внутренние дела. Можно сказать, что главы двух государств обеспечили стратегическое руководство и прочную политическую гарантию для китайско-российского всеобъемлющего стратегического партнерства и координации в новую эпоху.","Одной из главных целей визита председателя Си Цзиньпина стало обсуждение с президентом Путиным перспектив развития российско-китайских отношений. В ходе визита председатель Си провел продолжительные, искренние и плодотворные встречи и беседы с президентом Путиным, а также встретился с премьер-министром России Михаилом Мишустиным. Главы государств двух стран совместно подписали совместное заявление о углублении всестороннего стратегического партнерства в новую эпоху и совместное заявление о плане развития приоритетных направлений экономического сотрудничества между Китаем и Россией до 2030 года, определив планы и задачи для дальнейшего развития двусторонних отношений и сотрудничества в различных областях. Кроме того, были подписаны многочисленные двусторонние соглашения в области сельского хозяйства, лесного хозяйства, фундаментальных наук, контроля за рынком, СМИ и других сферах. Стороны подтвердили свою готовность продолжать оказывать взаимную поддержку по вопросам, касающимся основных интересов друг друга, а также совместно противостоять попыткам внешних сил вмешаться во внутренние дела. Можно сказать, что главы государств двух стран предоставили стратегическое руководство и надежную политическую гарантию для всестороннего стратегического партнерства между Китаем и Россией в новую эпоху.","Одной из важных целей визита президента Си было составление плана российско-китайских отношений с президентом Путиным. Во время своего визита председатель Си Цзиньпин и президент Путин провели долгую, сердечную и плодотворную встречу с премьер-министром Российской Федерации. Главы двух государств подписали Совместную декларацию о всеобъемлющем стратегическом партнерстве для углубления новой эры и Совместную декларацию о развитии приоритетных направлений центрального и российского экономического сотрудничества до 2030 года, планируя и развертывая следующую фазу сотрудничества между двумя странами в различных областях, а также подписали ряд двусторонних документов о сотрудничестве в области сельского хозяйства, лесного хозяйства, фундаментальной науки, регулирования рынка и средств массовой информации. Обе стороны подтвердили свою неизменную поддержку друг друга по вопросам, представляющим взаимный интерес, и совместное сопротивление внешнему вмешательству во внутренние дела. Можно сказать, что главы двух государств обеспечили стратегическое лидерство и сильные политические гарантии всеобъемлющего стратегического партнерства в новую эпоху Китая и России."
正如习近平主席所强调的，把中俄关系巩固好、发展好，是中方基于自身根本利益和世界发展大势作出的战略抉择，不会因一时一事而改变或动摇。,"Как подчеркнул председатель Си Цзиньпин, укрепление и развитие китайско-российских отношений — это стратегический выбор китайской стороны, основанный на собственных коренных интересах и общей тенденции мирового развития, и он не может измениться или поколебаться из-за сиюминутных событий.","Как подчеркнул Председатель Си Цзиньпин, укрепление и развитие китайско-российских отношений является стратегическим решением, принятым Китаем, исходя из его собственных фундаментальных интересов и общей тенденции мирового развития, и не может быть изменено или поколеблено каким-либо одним инцидентом.","Как подчеркивал председатель Си Цзиньпин, укрепление и развитие отношений между Китаем и Россией – это стратегический выбор, основанный на фундаментальных интересах Китая и общей тенденции развития мира. Этот выбор не изменится и не поколеблется из-за каких-либо временных обстоятельств или отдельных событий.","Как подчеркнул Си Цзиньпин, укрепление и развитие российско-китайских отношений является стратегическим выбором Китая на основе его фундаментальных интересов и развития мира."
历史证明，中俄关系之所以能够经受住国际风云变幻考验，关键在于找到了国与国正确相处之道。,"История свидетельствует, что китайско-российские отношения могут справиться с испытаниями меняющейся международной обстановки, и ключевым для этого является то, что найден путь правильного сосуществования между двумя государствами.","История доказала, что ключ к тому, чтобы китайско-российские отношения могли выдержать испытание меняющимися международными обстоятельствами, лежит в поиске способа правильно ладить между странами.","История показывает, что устойчивость российско-китайских отношений, способных выдержать испытания меняющейся международной обстановкой, обусловлена тем, что обе страны нашли правильный путь взаимодействия друг с другом.","История показала, что ключом к успеху международных отношений является поиск правильного способа жить друг с другом."
下一步，中方愿与俄方携手努力，全面落实习近平主席同普京总统达成的各项共识，持续深化中俄“背靠背”战略协作，有力促进欧亚大陆的团结发展繁荣，汇聚共同维护国际关系准则、加强互利合作的力量，为纷繁复杂的国际形势注入强大正能量，为构建人类命运共同体作出新贡献。,"В дальнейшем китайская сторона намерена прикладывать совместные усилия с российской стороной для всесторонней реализации всех договорённостей, достигнутых председателем Си Цзиньпином и президентом В. Путиным, продолжать углублять китайско-российское стратегическое взаимодействие «спина к спине», усиленно продвигать объединённое развитие и процветание евразийского континента, общими усилиями защищать нормы международных отношений, укреплять силу взаимовыгодного сотрудничества, вдохнуть мощную положительную энергию в сложную международную ситуацию, внести новый вклад в построение сообщества единой судьбы человечества.","В качестве следующего шага Китай готов работать с Россией над полной реализацией консенсуса, достигнутого председателем Си Цзиньпином и президентом Путиным, продолжать углублять «параллельную» стратегическую координацию между Китаем и Россией, эффективно способствовать единству, развитию и процветанию Евразии, собирать силы для совместной защиты норм международных отношений, укреплять взаимовыгодное сотрудничество, привносить сильную позитивную энергию в сложную международную ситуацию и вносить новый вклад в построение сообщества с единой судьбой человечества.","В дальнейшем Китай готов совместно с Россией прилагать усилия для всесторонней реализации всех достигнутых договоренностей между председателем КНР Си Цзиньпином и президентом России Владимиром Путиным, углублять стратегическое сотрудничество между Китаем и Россией, которое характеризуется взаимоподдержкой, активно содействовать единству, развитию и процветанию евразийского континента, объединять силы для поддержания международных норм и укрепления взаимовыгодного сотрудничества, вносить значительный позитивный вклад в сложную международную обстановку и делать новый вклад в построение сообщества единой судьбы человечества.","На следующем этапе Китай готов работать с российской стороной, чтобы в полной мере реализовать достигнутый между президентом Си Цзиньпином и президентом Путиным консенсус, продолжать углублять российско-китайское стратегическое сотрудничество «назад-назад», способствовать единству и процветанию Евразийского континента, объединять силы для поддержания норм международных отношений, укреплять взаимовыгодное сотрудничество и вливать сильную позитивную энергию в сложную международную ситуацию и вносить новый вклад в построение сообщества человеческой судьбы."
二、中俄元首签署《关于2030年前中俄经济合作重点方向发展规划的联合声明》。文中提到要“促进技术及创新领域的交流和高质量合作，保障两国技术的高水平发展”。中俄双方以谁为主？两国在该领域是否有互补性？面对西方对中俄的科技限制，两国需要多久才能在关键技术上实现完全自给自足？,"2. В совместном заявлении лидеров о плане развития ключевых направлений российско-китайского экономического сотрудничества до 2030 года значится, в частности, такое ключевое направление, как «качественное расширение сотрудничества в сферах технологий и инноваций в целях обеспечения технологического лидерства России и Китая». Кто здесь кому больше помощник, есть ли у Китая и Россия какая-то взаимодополняемсть в этой сфере? И сколько лет обеим странам понадобится для выхода на полное самообеспечение ключевыми технологиями в условиях западных ограничений против обеих стран в этой сфере?","2. Главы государств Китая и России подписали «Совместное заявление о плане развития ключевых направлений китайско-российского экономического сотрудничества до 2030 года». В статье упоминается необходимость «способствовать обменам и качественному сотрудничеству в области технологий и инноваций и обеспечивать высокий уровень развития технологий в обеих странах». Кто является лидером между Китаем и Россией? Есть ли взаимодополняемость между двумя странами в этой области? Столкнувшись с технологическими ограничениями Запада в отношении Китая и России, сколько времени понадобится этим двум странам, чтобы достичь полной самодостаточности в ключевых технологиях?","Второе: Главы государств Китая и России подписали совместное заявление о плане развития приоритетных направлений экономического сотрудничества между Китаем и Россией до 2030 года. В документе говорится о необходимости ""способствовать обмену и высококачественному сотрудничеству в области технологий и инноваций, обеспечивая высокий уровень технологического развития обеих стран"". Кто является ведущей стороной в этом сотрудничестве между Китаем и Россией? Существуют ли взаимодополняющие аспекты в этой сфере для обеих стран? В связи с ограничениями, налагаемыми западными странами на научно-техническое сотрудничество между Китаем и Россией, сколько времени потребуется этим двум странам, чтобы достичь полной технологической независимости в ключевых областях?","2. Главы государств Китая и Российской Федерации подписали Совместную декларацию о развитии приоритетных направлений центрального и российского экономического сотрудничества до 2030 года. В нем говорится о «поощрении обменов и высококачественного сотрудничества в области технологий и инноваций для обеспечения высокого уровня технологического развития в обеих странах». Кто такие китайцы и русские? Есть ли взаимодополняемость между двумя странами в этой области? Сколько времени потребуется, чтобы обе страны стали полностью самодостаточными в критических технологиях перед лицом западных технологических ограничений в отношении России и Китая?"
俄罗斯是世界公认的创新实力雄厚的科技强国，在最能代表国家实力的高技术领域，俄罗斯更是不折不扣的世界领先者。,"Россия — общепризнанное в мире сильное научно-техническое государство с мощным инновационным потенциалом, в наиболее представляющей государственную мощь научно-технической сфере Россия тем более является безоговорочным мировым лидером.","Россия признана во всем мире как технологическая держава с сильным инновационным потенциалом. В областях высоких технологий, которые лучше всего отражают национальную мощь, Россия является абсолютным мировым лидером.","Россия является общепризнанным технологически развитым государством с мощным инновационным потенциалом. В высокотехнологичных отраслях, которые наиболее точно отражают силу страны, Россия занимает лидирующие позиции в мире.","Россия является признанной мировой силой инноваций, и она является мировым лидером в области высоких технологий, которые представляют силу страны."
近年来，中俄科技创新合作在全面提升两国战略协作伙伴关系中的作用不断显现，更多俄传统高新技术成果在华转化合作不断推进，中国高新技术产品、市场化环境、产业创新经验也越来越受到俄方伙伴欢迎。,"В последние годы непрерывно проявляется роль инновационного научно-технического сотрудничества Китая и России во всестороннем повышении отношений стратегического партнёрства и сотрудничества двух стран, ещё большее число результатов традиционных российских новых технологий становятся в Китае объектами сотрудничества; китайская инновационная техническая продукция, условия коммерциализации и опыт производственных инноваций также всё более пользуются популярностью в России.",近年来，中俄科技创新合作在全面提升两国战略协作伙伴关系中的作用不断显现，更多俄传统高新技术成果在华转化合作不断推进，中国高新技术产品、市场化环境、产业创新经验也越来越受到俄方伙伴欢迎。,"В последние годы роль научно-технического сотрудничества между Китаем и Россией в укреплении стратегического партнерства между двумя странами постоянно возрастает. Все больше российских достижений в области высоких технологий находят применение и развиваются в Китае, а китайские высокотехнологичные продукты, рыночная среда и опыт промышленной инновации все больше привлекают внимание российских партнеров.","В последние годы роль науки, технологий и инноваций в общем укреплении стратегического партнерства между двумя странами становится все более очевидной, и все больше российских традиционных высокотехнологичных технологий набирают силу в Китае, а опыт Китая с высокотехнологичными продуктами, рыночными средами и промышленными инновациями становится все более популярным среди российских партнеров."
俄罗斯基础科学优势与中国应用科学及产业化优势有效结合，众多中国高新技术企业开始与俄方伙伴携手拓展合作，与俄罗斯科研院所和高校在物理、信息通信、人工智能等领域开展技术合作并取得成果，高新技术领域合作充分体现了中俄1+1大于2的功效和作用。,"Преимущество российской фундаментальной науки и преимущество китайской прикладной науки и внедрения в производство эффективно сочетаются, многочисленные китайские инновационно-технические предприятия начинают совместно с российскими партнёрами расширять сотрудничество, разворачивают техническое сотрудничество с российскими научно-исследовательскими институтами в таких сферах, как физика, информация и телекоммуникации, искусственный интеллект, и добиваются результатов, сотрудничество в сфере высоких технологий в полной мере отражают эффект и роль китайско-российской формулы «1+1 больше двух».","Преимущества России в фундаментальной науке эффективно сочетаются с преимуществами Китая в прикладной науке и индустриализации. Многие китайские высокотехнологичные предприятия начали расширять сотрудничество с российскими партнерами, осуществляли техническое сотрудничество с российскими научно-исследовательскими институтами и университетами в области физики, информационных коммуникаций, искусственного интеллекта и других областях и добились результатов. Сотрудничество в сфере высоких технологий в полной мере отражает эффективность и роль Китая и России 1+1 больше, чем 2.","Сочетание сильных сторон российской фундаментальной науки и преимуществ китайских прикладных исследований и промышленного производства приводит к эффективному сотрудничеству. Многие китайские высокотехнологичные компании начали активно взаимодействовать с российскими партнерами, развивая сотрудничество с российскими научно-исследовательскими институтами и университетами в таких областях, как физика, информационные технологии, искусственный интеллект, достигая значительных результатов. Сотрудничество в области высоких технологий наглядно демонстрирует эффект синергии между Китаем и Россией, когда 1+1 больше, чем 2.","Преимущество российской фундаментальной науки эффективно сочетается с прикладной наукой и индустриализацией Китая, и многие китайские высокотехнологичные предприятия начали расширять сотрудничество с российскими партнерами и добились результатов в техническом сотрудничестве с российскими научно-исследовательскими институтами и университетами в области физики, информации и связи, искусственного интеллекта, а сотрудничество в области высоких технологий полностью продемонстрировало эффективность и влияние Китая 1+1 плюс 2."
新冠疫情期间，中俄在云经济、物联网、大数据等新业态领域合作如雨后春笋，为后疫情时代打造全新的中俄创新生态奠定了基础。,"В период новой коронавирусной пандемии новые формы сотрудничества в таких областях, как облачная экономика, интернет вещей и большие данные стремительно развивались, заложив основу для создания совершенно новой китайско-российской инновационной среды в постпандемийную эпоху.","Во время эпидемии COVID-19 сотрудничество между Китаем и Россией в новых сферах бизнеса, таких как облачная экономика, Интернет вещей и большие данные, резко возросло, заложив основу для построения новой китайско-российской инновационной экосистемы в постэпидемическую эпоху.","В период пандемии COVID-19 сотрудничество между Китаем и Россией в таких новых областях, как облачные технологии, интернет вещей и большие данные, стремительно развивалось, закладывая основу для создания совершенно новой инновационной экосистемы между двумя странами в постпандемический период.","Во время новой эпидемии Китай и Россия работали вместе в новых сферах бизнеса, таких как облачная экономика, Интернет и большие данные, закладывая основы для новой и инновационной китайско-российской среды в постэпидемическую эпоху."
美西方对中俄科技创新发展加紧设限，极力压缩中俄两国在全球的科技生存发展空间。,"США и другие западные страны ужесточают ограничения для научно-технического инновационного развития Китая и России, всеми силами сжимая пространство научно-технического существования и развития двух стран в мировом масштабе.","Соединенные Штаты и Запад ужесточили ограничения на научно-технические инновации и развитие Китая и России, изо всех сил стараясь сократить пространство для научно-технологического выживания и развития Китая и России в мире.","США и страны Запада активно ограничивают научно-техническое развитие Китая и России, стремясь максимально сузить возможности этих стран в области науки и технологий на глобальном уровне.","Соединенные Штаты и Запад ужесточили ограничения на развитие науки, техники и инноваций в Российской Федерации и стремились сократить пространство для научно-технического развития в Российской Федерации и Китае."
